Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.14-205.174.165.73-52984-8080-6,192.168.10.14,52984,205.174.165.73,8080,6,7/7/2017 11:57,1015739,3,3,0,18,0,0,0,0,6,6,6,0,17.7210878,5.907029266,203147.8,277470.2291,513283,393,1015346,507673,8707.312904,513830,501516,1015066,507533,8687.513914,513676,501390,0,0,0,0,92,60,2.953514633,2.953514633,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3,0,6,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0,0,0,0,0,0,0,0,Bot
172.16.0.1-192.168.10.50-57376-80-6,172.16.0.1,57376,192.168.10.50,80,6,5/7/2017 9:57,3002214,3,0,0,0,0,0,0,0,0,0,0,0,0,0.999262544,1501107,710998.6969,2003859,998355,3002214,1501107,710998.6969,2003859,998355,0,0,0,0,0,0,0,0,0,120,0,0.999262544,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0,0,0,0,0,0,0,0,DoS slowloris
192.168.10.8-205.174.165.73-4603-8080-6,192.168.10.8,4603,205.174.165.73,8080,6,7/7/2017 11:59,997270,3,3,0,18,0,0,0,0,6,6,6,0,18.04927452,6.01642484,199454,272381.5247,498825,377,996674,498337,1223.294731,499202,497472,996637,498318.5,1559.170453,499421,497216,0,0,0,0,92,60,3.00821242,3.00821242,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3,0,6,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0,0,0,0,0,0,0,0,Bot
172.16.0.1-192.168.10.50-60852-80-6,172.16.0.1,60852,192.168.10.50,80,6,5/7/2017 11:11,12137359,9,6,814,11632,407,0,90.44444444,179.4701306,5792,0,1938.666667,2984.837059,1025.429008,1.235853698,866954.2143,2194433.577,6934748,17,7138002,892250.25,2442865.757,6935546,46,12100000,2427468.4,3304478.827,6934748,96,0,0,0,0,296,200,0.741512219,0.494341479,0,5792,777.875,1962.085587,3849779.85,0,0,0,1,0,0,0,0,0,829.7333333,90.44444444,1938.666667,0,0,0,0,0,0,9,814,6,11632,29200,235,2,32,201349,0,201349,201349,6934748,0,6934748,6934748,DoS GoldenEye
172.16.0.1-192.168.10.51-45022-444-6,172.16.0.1,45022,192.168.10.51,444,6,5/7/2017 3:18,119260295,2791,2114,13712,7878088,5792,0,4.912934432,110.3961875,13032,0,3726.626301,2284.046514,66172.90356,41.1285248,24318.98348,152794.7907,995259,-1,119000000,42745.53082,200841.3366,997791,0,119000000,56441.21202,228878.5304,995259,1,0,0,0,0,89312,67648,23.40259178,17.72593301,0,13032,1609.782307,2377.954578,5654667.975,0,0,0,0,1,0,0,0,0,1610.110499,4.912934432,3726.626301,0,0,0,0,0,0,2791,13712,2114,7878088,235,235,120,32,0,0,0,0,0,0,0,0,Heartbleed
192.168.10.8-205.174.165.73-54119-444-6,192.168.10.8,54119,205.174.165.73,444,6,6/7/2017 2:38,116393329,504,504,171452,3024,1027,6,340.1825397,232.8178974,6,6,6,0,1499.020618,8.660290144,115584.2393,2049749.033,49900000,3,66500000,132266.4513,1864597.947,41500000,86,116000000,231365.3658,2897059.779,49900000,525,0,0,0,0,10080,10080,4.330145072,4.330145072,6,1027,172.925669,234.5111418,54995.47562,0,0,0,0,1,0,0,0,1,173.0972222,340.1825397,6,0,0,0,0,0,0,504,171452,504,3024,3294,3294,503,20,21900000,0,21900000,21900000,41500000,0,41500000,41500000,Infiltration
172.16.0.1-192.168.10.50-35613-119-6,172.16.0.1,35613,192.168.10.50,119,6,7/7/2017 2:52,42,1,1,2,6,2,2,2,0,6,6,6,0,190476.1905,47619.04762,42,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,23809.52381,23809.52381,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
192.168.10.1-192.168.10.3-53-62454-17,192.168.10.3,62454,192.168.10.1,53,17,5/7/2017 2:07,59791,1,1,52,146,52,52,52,0,146,146,146,0,3311.535181,33.44985031,59791,0,59791,59791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,16.72492516,16.72492516,52,146,83.33333333,54.2709253,2945.333333,0,0,0,0,0,0,0,0,1,125,52,146,0,0,0,0,0,0,1,52,1,146,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.51-45022-444-6,172.16.0.1,45022,192.168.10.51,444,6,5/7/2017 3:26,119257653,2802,2067,20858,7812389,5792,0,7.443968594,126.0458111,13032,0,3779.578616,2380.312566,65683.39057,40.82756853,24498.28533,153803.6224,1995346,-1,119000000,42576.80079,201441.2784,1996118,0,119000000,57723.92982,233324.7174,1995346,1,0,0,0,0,89664,66144,23.49534751,17.33222102,0,13032,1609.658932,2427.561637,5893055.501,0,0,0,0,1,0,0,0,0,1609.989526,7.443968594,3779.578616,0,0,0,0,0,0,2802,20858,2067,7812389,235,349,123,32,0,0,0,0,0,0,0,0,Heartbleed
172.16.0.1-192.168.10.50-39070-1300-6,172.16.0.1,39070,192.168.10.50,1300,6,7/7/2017 2:52,22,1,1,2,6,2,2,2,0,6,6,6,0,363636.3636,90909.09091,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,45454.54545,45454.54545,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
172.16.0.1-192.168.10.50-55710-80-6,172.16.0.1,55710,192.168.10.50,80,6,5/7/2017 9:51,102609848,14,3,2541,6,231,0,181.5,98.36333745,6,0,2,3.464101615,24.82217886,0.165676105,6413115.5,13200000,51300000,58,103000000,7893060.769,14300000,51300000,693,103000000,51300000,27900000,71000000,31600000,0,0,0,0,456,100,0.136439146,0.02923696,0,231,141.5,115.4547276,13329.79412,0,0,0,1,0,0,0,0,0,149.8235294,181.5,2,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3205616.5,4532777.206,6410774,459,19200000,18800000,51300000,5927136,DoS slowloris
172.16.0.1-192.168.10.50-60780-80-6,172.16.0.1,60780,192.168.10.50,80,6,5/7/2017 10:43,83419317,5,7,351,11595,339,0,70.2,150.2937124,8688,0,1656.428571,3174.60191,143.2042413,0.143851573,7583574.273,25100000,83300000,9,83400000,20800000,41700000,83300000,1992,83400000,13900000,34000000,83400000,44,0,0,0,0,144,232,0.059938156,0.083913418,0,8688,919.3846154,2394.462659,5733451.423,1,0,0,0,0,0,0,0,1,996,70.2,1656.428571,0,0,0,0,0,0,5,351,7,11595,0,235,2,20,10973,0,10973,10973,83300000,0,83300000,83300000,DoS Hulk
172.16.0.1-192.168.10.50-35716-80-6,172.16.0.1,35716,192.168.10.50,80,6,5/7/2017 11:12,10930608,5,4,345,3525,345,0,69,154.2886904,3525,0,881.25,1762.5,354.0516685,0.823375973,1366326,2541084.892,5927499,4,5930677,1482669.25,2964901.182,5930021,4,10900000,3643520.667,3188543.718,5927499,653,0,0,0,0,168,136,0.457431096,0.365944877,0,3525,387,1107.898912,1227440,0,0,0,1,0,0,0,0,0,430,69,881.25,0,0,0,0,0,0,5,345,4,3525,29200,235,1,32,699,0,699,699,5927499,0,5927499,5927499,DoS GoldenEye
172.16.0.1-192.168.10.50-58968-21-6,172.16.0.1,58968,192.168.10.50,21,6,4/7/2017 10:11,8758097,9,15,103,188,24,0,11.44444444,9.153020145,34,0,12.53333333,14.54975045,33.2263961,2.740321328,380786.8261,999399.8942,3371730,3,6383723,797965.375,1480707.418,3415392,3,8758011,625572.2143,1235063.284,3371730,3,0,0,0,0,296,488,1.027620498,1.71270083,0,34,11.64,12.55282173,157.5733333,0,0,0,1,0,0,0,0,1,12.125,11.44444444,12.53333333,0,0,0,0,0,0,9,103,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,FTP-Patator
172.16.0.1-192.168.10.50-58634-80-6,172.16.0.1,58634,192.168.10.50,80,6,5/7/2017 10:49,1287,4,0,0,0,0,0,0,0,0,0,0,0,0,3108.003108,429,310.0387073,787,249,1287,429,310.0387073,787,249,0,0,0,0,0,0,0,0,0,128,0,3108.003108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,251,-1,0,32,0,0,0,0,0,0,0,0,DoS Hulk
192.168.10.15-205.174.165.73-52935-8080-6,205.174.165.73,8080,192.168.10.15,52935,6,7/7/2017 10:48,171,1,1,6,6,6,6,6,0,6,6,6,0,70175.4386,11695.90643,171,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5847.953216,5847.953216,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,1164,256,0,20,0,0,0,0,0,0,0,0,Bot
192.168.10.8-205.174.165.73-4484-8080-6,192.168.10.8,4484,205.174.165.73,8080,6,7/7/2017 11:39,997356,3,3,0,18,0,0,0,0,6,6,6,0,18.04771817,6.015906056,199471.2,272198.5193,498503,614,996609,498304.5,1266.428245,499200,497409,996742,498371,1243.093721,499250,497492,0,0,0,0,92,60,3.007953028,3.007953028,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3,0,6,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0,0,0,0,0,0,0,0,Bot
172.16.0.1-192.168.10.50-46802-22-6,172.16.0.1,46802,192.168.10.50,22,6,4/7/2017 2:14,64,1,1,0,0,0,0,0,0,0,0,0,0,0,31250,64,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,15625,15625,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
172.16.0.1-192.168.10.50-56640-21-6,172.16.0.1,56640,192.168.10.50,21,6,4/7/2017 9:53,8712829,9,15,100,188,23,0,11.11111111,8.823894328,34,0,12.53333333,14.54975045,33.05470588,2.754558824,378818.6522,984825.0874,3050491,4,5620181,702522.625,1303066.794,3011015,4,8712711,622336.5,1215789.328,3050491,18,0,0,0,0,296,488,1.032959559,1.721599265,0,34,11.52,12.47704559,155.6766667,0,0,0,1,0,0,0,0,1,12,11.11111111,12.53333333,0,0,0,0,0,0,9,100,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,FTP-Patator
192.168.10.8-205.174.165.73-54131-444-6,192.168.10.8,54131,205.174.165.73,444,6,6/7/2017 2:36,69365637,1031,1031,307939,6186,1271,6,298.6799224,270.0715266,6,6,6,0,4528.539109,29.72653448,33656.30131,341655.4599,13900000,6,69300000,67329.11748,482164.7132,13900000,369,69400000,67344.6699,481227.4033,13900000,462,1,0,0,0,20620,20620,14.86326724,14.86326724,6,1271,152.3121667,240.5221819,57850.91996,0,1,0,0,1,0,0,0,1,152.386033,298.6799224,6,0,0,0,0,0,0,1031,307939,1031,6186,255,3977,1030,20,16400000,0,16400000,16400000,13900000,0,13900000,13900000,Infiltration
172.16.0.1-192.168.10.50-58551-80-6,172.16.0.1,58551,192.168.10.50,80,6,7/7/2017 4:00,78815309,8,4,56,11601,20,0,7,5.656854249,8760,0,2900.25,4128.319301,147.902738,0.152254684,7165028.091,20100000,67200000,60,77100000,11000000,25100000,67200000,243,1741783,580594.3333,985658.0975,1718661,377,0,0,0,0,172,92,0.101503123,0.050751561,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7,2900.25,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,1880,0,1880,1880,38500000,40600000,67200000,9838476,DDoS
172.16.0.1-192.168.10.50-52720-21-6,172.16.0.1,52720,192.168.10.50,21,6,4/7/2017 9:24,9627701,9,15,116,188,28,0,12.88888889,10.81023178,34,0,12.53333333,14.54975045,31.57555475,2.492806954,418595.6957,1089067.882,3348694,3,6235128,779391,1442768.744,3243581,4,9627573,687683.7857,1344593.193,3348694,3,0,0,0,0,296,488,0.934802608,1.558004346,0,34,12.16,12.99576854,168.89,0,0,0,1,0,0,0,0,1,12.66666667,12.88888889,12.53333333,0,0,0,0,0,0,9,116,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,FTP-Patator
172.16.0.1-192.168.10.50-50060-80-6,172.16.0.1,50060,192.168.10.50,80,6,7/7/2017 4:15,8475062,6,0,36,0,6,6,6,0,0,0,0,0,4.247756536,0.707959423,1695012.4,3789446.872,8473781,1,8475062,1695012.4,3789446.872,8473781,1,0,0,0,0,0,0,0,0,0,120,0,0.707959423,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7,6,0,0,0,0,0,0,0,6,36,0,0,256,-1,5,20,1281,0,1281,1281,8473781,0,8473781,8473781,DDoS
192.168.10.8-205.174.165.73-1260-444-6,192.168.10.8,1260,205.174.165.73,444,6,6/7/2017 3:12,69714525,20,20,3737,120,705,6,186.85,227.1610315,6,6,6,0,55.32562977,0.573768522,1787551.923,8993025.335,55000000,33,69700000,3669160.421,12800000,55000000,417,69700000,3669169.263,12800000,55000000,530,1,0,0,0,400,400,0.286884261,0.286884261,6,705,94.95121951,181.0434963,32776.74756,0,1,0,0,1,0,0,0,1,97.325,186.85,6,0,0,0,0,0,0,20,3737,20,120,255,1063,19,20,557579,11.3137085,557587,557571,34000000,29700000,55000000,13000000,Infiltration
172.16.0.1-192.168.10.50-34038-80-6,172.16.0.1,34038,192.168.10.50,80,6,5/7/2017 10:15,108272215,7,3,529,0,520,0,75.57142857,196.0032799,0,0,0,0,4.88583336,0.092359799,12000000,33500000,101000000,48,108000000,18000000,40800000,101000000,522,101000000,50600000,71600000,101000000,1243,0,0,0,0,256,104,0.064651859,0.02770794,0,520,48.09090909,156.5378258,24504.09091,0,0,0,1,0,0,0,0,0,52.9,75.57142857,0,0,0,0,0,0,0,7,529,3,0,29200,235,2,32,7005210,0,7005210,7005210,101000000,0,101000000,101000000,DoS Slowhttptest
172.16.0.1-192.168.10.50-46468-22-6,172.16.0.1,46468,192.168.10.50,22,6,4/7/2017 2:10,14201661,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,334.6791618,3.731957832,273108.8654,737057.7048,2501407,40,11800000,592133.6,1038610.726,2566372,849,14200000,458114,914370.1272,2501407,48,0,0,0,0,680,1032,1.478700273,2.253257559,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
172.16.0.1-192.168.10.50-45356-80-6,172.16.0.1,45356,192.168.10.50,80,6,5/7/2017 11:19,7744936,8,6,510,11632,510,0,63.75,180.3122292,5840,0,1938.666667,2550.37524,1567.734065,1.807632755,595764.3077,1524833.673,4999578,4,2745358,392194,1036836.443,2743518,4,7744888,1548977.6,2266058.395,5001695,50,0,0,0,0,264,200,1.032933003,0.774699752,0,5840,809.4666667,1802.858756,3250299.695,0,0,0,1,0,0,0,0,0,867.2857143,63.75,1938.666667,0,0,0,0,0,0,8,510,6,11632,29200,235,1,32,0,0,0,0,0,0,0,0,DoS GoldenEye
172.16.0.1-192.168.10.50-49096-80-6,172.16.0.1,49096,192.168.10.50,80,6,5/7/2017 10:33,63123506,7,0,0,0,0,0,0,0,0,0,0,0,0,0.110893714,10500000,11900000,32100000,996108,63100000,10500000,11900000,32100000,996108,0,0,0,0,0,0,0,0,0,280,0,0.110893714,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7012057,0,7012057,7012057,18700000,12200000,32100000,8015915,DoS Slowhttptest
172.16.0.1-192.168.10.50-48392-22-6,172.16.0.1,48392,192.168.10.50,22,6,4/7/2017 2:30,13013916,24,32,2008,2745,640,0,83.66666667,134.5286996,976,0,85.78125,220.240592,365.2244259,4.30308602,236616.6545,658160.6459,2471722,3,11100000,481890.6522,924039.722,2527194,501,13000000,419800.9355,836937.3884,2471722,3,0,0,0,0,776,1032,1.844179723,2.458906297,0,976,83.38596491,185.5048858,34412.06266,0,0,0,1,0,0,0,0,1,84.875,83.66666667,85.78125,0,0,0,0,0,0,24,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
192.168.10.15-63.251.88.56-51095-443-6,192.168.10.15,51095,63.251.88.56,443,6,4/7/2017 9:36,197212,7,11,967,5509,533,0,138.1428571,201.9491921,1460,0,500.8181818,648.3520368,32837.75835,91.27233637,11600.70588,12661.7641,28509,4,167997,27999.5,11540.5052,47103,14301,168804,16880.4,21088.1471,46464,4,0,0,0,0,152,228,35.49479748,55.77753889,0,1460,340.8421053,534.0413283,285200.1404,0,0,0,1,0,0,0,0,1,359.7777778,138.1428571,500.8181818,0,0,0,0,0,0,7,967,11,5509,8192,5347,3,20,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.50-45154-80-6,172.16.0.1,45154,192.168.10.50,80,6,5/7/2017 11:19,11872818,5,5,421,3525,421,0,84.2,188.2769237,2077,0,705,990.6447396,332.3558063,0.842260026,1319202,2657142.373,6863297,4,6868717,1717179.25,3433587.85,6867561,4,11900000,2968194.5,3509478.335,6863297,99,0,0,0,0,168,168,0.421130013,0.421130013,0,2077,358.7272727,719.1895565,517233.6182,0,0,0,1,0,0,0,0,1,394.6,84.2,705,0,0,0,0,0,0,5,421,5,3525,29200,235,1,32,911,0,911,911,6863297,0,6863297,6863297,DoS GoldenEye
